,,,,,,,S.No,,Speed(mm/s),,Power(kW),,Ti Max. Temp(K),,,Aluminium Max Temp
,,,,,,,1,,1000,,1200,,952,,,750.9
,,,,,,,2,,1010,,1200,,942,,,738
,,,,,,,3,,1020,,1200,,928,,,727
,,,,,,,4,,1030,,1200,,906,,,708
,,,,,,,5,,1000,,1400,,1030,,,835
,,,,,,,6,,1000,,1600,,1142,,,948
,,,,,,,7,,1000,,1800,,1252,,,1057.6
,,,,,,,8,,1040,,1250,,907,,,704.9
,,,,,,,9,,1050,,1300,,927,,,726.6
,,,,,,,10,,1060,,1350,,943.5,,,741.5
,,,,,,,11,,1070,,1400,,957.3,,,755.3
,,,,,,,12,,1080,,1450,,970,,,769
,,,,,,,13,,1090,,1500,,974.5,,,773.9
,,,,,,,14,,1100,,1550,,987.8,,,785.8
,,,,,,,15,,1110,,1600,,1000,,,796
,,,,,,,16,,1120,,1650,,1016.7,,,814.5
,,,,,,,17,,1130,,1700,,1034,,,826
,,,,,,,18,,1140,,1750,,1053,,,852
,,,,,,,19,,1150,,1800,,1074.2,,,875.1
,,,,,,,20,,1160,,1850,,1094.9,,,893.6
,,,,,,,21,,1170,,1900,,1115.3,,,915.3
,,,,,,,22,,1180,,1950,,1128,,,925
,,,,,,,23,,1190,,2000,,1141,,,940
,,,,,,,24,,1200,,2050,,1154.4,,,954.4
,,,,,,,25,,1210,,2100,,1167.3,,,965.3
,,,,,,,26,,1220,,2150,,1180,,,983
,,,,,,,27,,1230,,2200,,1193.2,,,994.9
,,,,,,,28,,1240,,2250,,1205.7,,,1007.7
,,,,,,,29,,1250,,2300,,1218.6,,,1015.6
,,,,,,,30,,1260,,2350,,1233.3,,,1031.1
,,,,,,,31,,1270,,2400,,1246.2,,,1046.2
,,,,,,,32,,1280,,2450,,1257.1,,,1056
,,,,,,,33,,1290,,2500,,1270.1,,,1068.1
,,,,,,,34,,1300,,2550,,1283.7,,,1082.7
,,,,,,,35,,1310,,2600,,1296,,,1095.4
,,,,,,,36,,1320,,2650,,1308.6,,,1108
,,,,,,,37,,1330,,2700,,1320.2,,,1119.4
,,,,,,,38,,1340,,2750,,1333.5,,,1133.1
,,,,,,,39,,1350,,2800,,1346.7,,,1147
,,,,,,,40,,1360,,2850,,1360,,,1162
,,,,,,,41,,1000,,1450,,1043,,,843
,,,,,,,42,,1000,,1500,,1069,,,869
,,,,,,,43,,1000,,1550,,1100,,,899
,,,,,,,44,,1000,,1650,,1163.3,,,964.3
,,,,,,,45,,1000,,1700,,1194,,,994
,,,,,,,46,,1000,,1750,,1225.3,,,1028.3
,,,,,,,47,,1000,,1850,,1283,,,1084
,,,,,,,48,,1000,,1900,,1313.4,,,1113.4
,,,,,,,49,,1000,,1950,,1346,,,1146
,,,,,,,50,,1000,,2000,,1378,,,1178
,,,,,,,51,,1030,,1210,,911,,,711
,,,,,,,52,,1030,,1220,,917.1,,,717.1
,,,,,,,53,,1030,,1230,,922.1,,,722.1
,,,,,,,54,,1030,,1240,,927.6,,,725.6
,,,,,,,55,,1030,,1250,,932.3,,,734.6
,,,,,,,56,,1030,,1260,,937.5,,,739.3
,,,,,,,57,,1030,,1270,,942.8,,,743.7
,,,,,,,58,,1030,,1280,,948.1,,,747.1
,,,,,,,59,,1030,,1290,,954,,,754
,,,,,,,60,,1030,,1300,,960,,,757
,,,,,,,61,,1040,,1220,,901.1,,,700.2
,,,,,,,62,,1050,,1220,,887,,,682
,,,,,,,63,,1060,,1220,,873,,,673
,,,,,,,64,,1070,,1220,,855,,,651.8
,,,,,,,65,,1080,,1220,,838,,,637
,,,,,,,66,,1200,,2000,,1126.1,,,923.1
,,,,,,,67,,1210,,2000,,1110.6,,,910.7
,,,,,,,68,,1220,,2000,,1095.2,,,895.1
,,,,,,,69,,1230,,2000,,1079.8,,,880.6
,,,,,,,70,,1240,,2050,,1091,,,888.7
,,,,,,,71,,1250,,2050,,1076.5,,,876.2
,,,,,,,72,,1260,,2050,,1061,,,859
,,,,,,,73,,1260,,2300,,1213.1,,,1013
,,,,,,,74,,1270,,2300,,1200.2,,,996.2
,,,,,,,75,,1280,,2300,,1183.3,,,982.3
,,,,,,,76,,1270,,2350,,1217,,,1017
,,,,,,,77,,1280,,2350,,1201,,,1003
,,,,,,,78,,1290,,2350,,1185,,,984
,,,,,,,79,,1300,,2350,,1170.1,,,970.1
,,,,,,,80,,1280,,2400,,1230.3,,,1033.3
,,,,,,,81,,1290,,2400,,1212,,,1013
,,,,,,,82,,1300,,2400,,1200,,,999.4
,,,,,,,83,,1290,,2450,,1242.6,,,1042.5
,,,,,,,84,,1300,,2450,,1230,,,1025.6
,,,,,,,85,,1310,,2450,,1217.6,,,1014.3
,,,,,,,86,,1310,,2500,,1242.4,,,1039.4
,,,,,,,87,,1320,,2500,,1228,,,1022
,,,,,,,88,,1330,,2500,,1212,,,1007
,,,,,,,89,,1320,,2550,,1253,,,1046
,,,,,,,90,,1330,,2550,,1240,,,1036
,,,,,,,91,,1340,,2550,,1226,,,1024.6
,,,,,,,92,,1320,,2600,,1280,,,1079
,,,,,,,93,,1330,,2600,,1266,,,1064.2
,,,,,,,94,,1340,,2600,,1250.6,,,1051.6
,,,,,,,95,,1330,,2650,,1294,,,1100.6
,,,,,,,96,,1340,,2650,,1280.1,,,1082.6
,,,,,,,97,,1350,,2650,,1266.3,,,1068.3
,,,,,,,98,,1340,,2700,,1303,,,1101.9
,,,,,,,99,,1350,,2700,,1285.8,,,1083.8
,,,,,,,100,,1360,,2700,,1271.3,,,1069.3